Tax Year,County,Income Class,Number of Returns,NY AGI Total ($),NYS Tax Liability Total ($)
2007,Broome,"Under $5,000",8363,19702675.23,503933.23
2007,Cayuga,"$10,000 - $19,999",5697,85273265.72,2558995.55
2007,Cayuga,"$100,000 - $199,999",2593,395302552.29,7813722.64
2007,Cayuga,"$20,000 - $29,999",4923,123559628.44,3244968.87
2007,Cayuga,"$200,000 or more",1110,320580362.37,4009911.32
2007,Cayuga,"$30,000 - $39,999",4521,152960190.29,4706994.85
2007,Cayuga,"$40,000 - $49,999",3596,166183246.66,5651049.08
2007,Cayuga,"$5,000 - $9,999",2849,21099563.85,612757.18
2007,Cayuga,"$50,000 - $74,999",5446,393767322.73,10825122.68
2007,Cayuga,"$75,000 - $99,999",2906,232657409.61,7231753.09
2007,Cayuga,"Under $5,000",2997,7601255.82,174437.47
2007,Chemung,"$10,000 - $19,999",6791,103264280.6,3107960.95
2007,Chemung,"$100,000 - $199,999",2680,412809730.37,8114106.8
2007,Chemung,"$20,000 - $29,999",5390,137332581.87,4507155.38
2007,Chemung,"$200,000 or more",1214,360648194.39,4335548.63
2007,Chemung,"$30,000 - $39,999",4620,159220757.04,5096859.5
2007,Chemung,"$40,000 - $49,999",3721,166003917.09,5761708.02
2007,Chemung,"$5,000 - $9,999",3393,27736119.13,664356.24
2007,Chemung,"$50,000 - $74,999",6052,396939107.29,11720074.46
2007,Chemung,"$75,000 - $99,999",3219,281207460.28,7422188.23
2007,Chemung,"Under $5,000",3603,8378822.03,223807.1
2007,Cortland,"$10,000 - $19,999",3783,57361754.34,1637131.09
2007,Cortland,"$100,000 - $199,999",1473,227169954.43,4581657.54
2007,Cortland,"$20,000 - $29,999",3127,81385240.15,2212491.14
2007,Cortland,"$200,000 or more",748,205995951.5,2647026.69
2007,Cortland,"$30,000 - $39,999",2941,103573833.11,3225592.5
2007,Cortland,"$40,000 - $49,999",2426,106014991.97,3639602.72
2007,Cortland,"$5,000 - $9,999",1885,15396946.7,378526.54
2007,Cortland,"$50,000 - $74,999",3346,209239871.41,6827655.76
2007,Cortland,"$75,000 - $99,999",1639,154088142.72,4012896.79
2007,Cortland,"Under $5,000",2116,5133281.92,123894.34
2007,Dutchess,"$10,000 - $19,999",18538,261416437.55,9617375.86
2007,Dutchess,"$100,000 - $199,999",12419,1906167740.76,43629871.61
2007,Dutchess,"$20,000 - $29,999",19074,471688883.56,16096834.22
2007,Dutchess,"$200,000 or more",6878,2068773486.66,29749644.91
2007,Dutchess,"$30,000 - $39,999",16110,582419227.6,20908174.97
2007,Dutchess,"$40,000 - $49,999",14406,676056810.76,25596732.92
2007,Dutchess,"$5,000 - $9,999",9138,71481736.27,2379885.71
2007,Dutchess,"$50,000 - $74,999",22994,1315099059.55,54177136.7
2007,Dutchess,"$75,000 - $99,999",14108,1228793904.65,41098963.67
2007,Dutchess,"Under $5,000",8696,19985292.6,590321.5
2007,Erie,"$10,000 - $19,999",60893,927404851.12,28531720.77
2007,Erie,"$100,000 - $199,999",33420,5548926837.9,115873800.04
2007,Erie,"$20,000 - $29,999",55196,1330024518.4,38843476.5
2007,Erie,"$200,000 or more",16816,5036615323.13,76988474.29
2007,Erie,"$30,000 - $39,999",50699,1776980021.52,54359017.89
2007,Erie,"$40,000 - $49,999",42375,1760271942.3,66682616.73
2007,Erie,"$5,000 - $9,999",32362,242382303.9,7702288.44
2007,Erie,"$50,000 - $74,999",70815,4749205929.29,158919032.49
2007,Erie,"$75,000 - $99,999",37570,3177226499.75,105005757.65
2007,Erie,"Under $5,000",33231,77969632.69,2062923.08
2007,"Grand Total, Full-Year Resident",All Classes,6686954,432782576913.58,14147554592.64
2007,Hamilton,"$10,000 - $19,999",376,6154301.8,130057.78
2007,Hamilton,"$100,000 - $199,999",186,26688693.5,479814.96
2007,Hamilton,"$20,000 - $29,999",370,9516413.16,223574.13
2007,Hamilton,"$200,000 or more",88,27705339.09,250256.99
2007,Hamilton,"$30,000 - $39,999",306,11330392.26,286264.37
2007,Hamilton,"$40,000 - $49,999",260,11013630.18,312789.71
2007,Hamilton,"$5,000 - $9,999",190,1451723.45,34466.83
2007,Hamilton,"$50,000 - $74,999",380,23599874.77,664135.34
2007,Hamilton,"$75,000 - $99,999",211,19624503.62,445591.6
2007,Hamilton,"Under $5,000",193,473570.27,9520.14
2007,Madison,"$10,000 - $19,999",4493,72340527.05,1940918.89
2007,Madison,"$100,000 - $199,999",2347,332636487.49,6548273.45
2007,Madison,"$20,000 - $29,999",4475,104252287.6,3251616.76
2007,Madison,"$200,000 or more",1223,366189715.75,4312702.8
2007,Madison,"$30,000 - $39,999",3859,151921568.46,3868194.91
2007,Madison,"$40,000 - $49,999",3045,126882792.77,4167338.81
2007,Madison,"$5,000 - $9,999",2573,19337800.09,504655.55
2007,Madison,"$50,000 - $74,999",4747,268062780.95,9103297.75
2007,Madison,"$75,000 - $99,999",2583,225347728.34,6579648.64
2007,Madison,"Under $5,000",2527,6501000.87,155622.21
2007,Manhattan,"$10,000 - $19,999",42513,632545776.29,45534470.53
2007,Manhattan,"$100,000 - $199,999",115343,17813626877.96,799143469.37
2007,Manhattan,"$20,000 - $29,999",50692,1164528691.16,84106083.52
2007,Manhattan,"$200,000 or more",81730,27465452870.6,637975916.49
2007,Manhattan,"$30,000 - $39,999",66295,2196361536.97,162553051.47
2007,Manhattan,"$40,000 - $49,999",65029,2857201328.9,238439695.88
2007,Manhattan,"$5,000 - $9,999",16354,121059744.1,8343513.29
2007,Manhattan,"$50,000 - $74,999",131611,7953766577.32,631615739.26
2007,Manhattan,"$75,000 - $99,999",104344,9184051537.52,576632494.26
2007,Manhattan,"Under $5,000",12872,33152379.18,1760841.58
2007,Monroe,"$10,000 - $19,999",44939,678460792.85,21425482.91
2007,Monroe,"$100,000 - $199,999",26265,3966751047.38,96095099.09
2007,Monroe,"$20,000 - $29,999",41762,1025524560.02,36500817.29
2007,Monroe,"$200,000 or more",14020,4472429600.26,60373251.65
2007,Monroe,"$30,000 - $39,999",41597,1377581014.03,47782378.42
2007,Monroe,"$40,000 - $49,999",35066,1583148902.37,56681216.57
2007,Monroe,"$5,000 - $9,999",21415,145165181.79,5314445.37
2007,Monroe,"$50,000 - $74,999",53404,3357019395.68,125641452.42
2007,Monroe,"$75,000 - $99,999",31159,2858243958.89,97815122.14
2007,Monroe,"Under $5,000",21745,48711512.12,1517035.6
2007,NYS Unclassified +,All Classes,2402,69414492.85,2110964.08
2007,Nassau,"$10,000 - $19,999",60215,851316297.5,40178374.33
2007,Nassau,"$100,000 - $199,999",82841,12623438380.0,418683118.3
2007,Nassau,"$20,000 - $29,999",68622,1862408316.48,80811576.55
2007,Nassau,"$200,000 or more",44671,13783808596.15,284096485.18
2007,Nassau,"$30,000 - $39,999",68077,2186810929.08,122461861.45
2007,Nassau,"$40,000 - $49,999",59391,2530513374.57,134464151.75
2007,Nassau,"$5,000 - $9,999",25707,199811023.29,8524319.93
2007,Nassau,"$50,000 - $74,999",119867,7649670788.31,371355105.73
2007,Nassau,"$75,000 - $99,999",87094,8281989125.58,363614853.58
2007,Nassau,"Under $5,000",21165,49794582.33,2154373.29
2007,Onondaga,"$10,000 - $19,999",30397,456946639.57,14529105.92
2007,Onondaga,"$100,000 - $199,999",19230,2751007636.76,70015324.03
2007,Onondaga,"$20,000 - $29,999",30757,778439131.22,24832096.13
2007,Onondaga,"$200,000 or more",8923,3113814435.45,34288451.41
2007,Onondaga,"$30,000 - $39,999",27053,945498263.95,33640288.23
2007,Onondaga,"$40,000 - $49,999",22886,1027164379.46,39493331.76
2007,Onondaga,"$5,000 - $9,999",14774,111015063.51,3727608.38
2007,Onondaga,"$50,000 - $74,999",35589,2293548289.1,82111769.24
2007,Onondaga,"$75,000 - $99,999",19703,1677912368.55,63356345.0
2007,Onondaga,"Under $5,000",15458,39280662.43,1037054.1
2007,Orange,"$10,000 - $19,999",21843,326772982.94,10641888.2
2007,Orange,"$100,000 - $199,999",13314,2001026841.13,44857527.86
2007,Orange,"$20,000 - $29,999",19988,458032464.56,16350054.92
2007,Orange,"$200,000 or more",6802,2005836575.63,29136744.9
2007,Orange,"$30,000 - $39,999",19066,695502404.96,22669969.84
2007,Orange,"$40,000 - $49,999",15616,669688597.89,26858282.98
2007,Orange,"$5,000 - $9,999",11082,80184255.24,2636342.27
2007,Orange,"$50,000 - $74,999",25665,1566689700.99,58953701.14
2007,Orange,"$75,000 - $99,999",16333,1413978179.59,45410302.54
2007,Orange,"Under $5,000",11009,26306014.12,689934.08
2007,Queens,"$10,000 - $19,999",97624,1529738792.65,53286871.64
2007,Queens,"$100,000 - $199,999",64318,9790236255.29,269934336.62
2007,Queens,"$20,000 - $29,999",94988,2314402749.62,78324088.93
2007,Queens,"$200,000 or more",32090,9168074114.45,147376271.02
2007,Queens,"$30,000 - $39,999",85242,3019130107.37,107745485.55
2007,Queens,"$40,000 - $49,999",81045,3644699659.88,131097922.06
2007,Queens,"$5,000 - $9,999",50126,370376631.11,12436924.65
2007,Queens,"$50,000 - $74,999",119612,7266129927.33,257966351.42
2007,Queens,"$75,000 - $99,999",74119,6317008684.97,248075058.52
2007,Queens,"Under $5,000",51407,123331227.63,3769141.12
2007,Residence Unknown ++,All Classes,426,8498302.84,341273.49
2007,Rockland,"$10,000 - $19,999",15009,240732648.29,9670844.41
2007,Rockland,"$100,000 - $199,999",14237,2307293563.45,66954313.67
2007,Rockland,"$20,000 - $29,999",14823,364658366.36,15568017.79
2007,Rockland,"$200,000 or more",7840,2386404418.67,43391939.68
2007,Rockland,"$30,000 - $39,999",14242,511239546.42,22649422.97
2007,Rockland,"$40,000 - $49,999",12926,601756635.07,29949445.61
2007,Rockland,"$5,000 - $9,999",6644,45690000.3,1928332.2
2007,Rockland,"$50,000 - $74,999",23643,1388484119.24,72692934.29
2007,Rockland,"$75,000 - $99,999",14292,1194127908.07,57082605.48
2007,Rockland,"Under $5,000",5546,13690795.64,516620.88
2007,Schuyler,"$10,000 - $19,999",1495,22765190.69,635622.59
2007,Schuyler,"$100,000 - $199,999",560,77937816.3,1596469.69
2007,Schuyler,"$20,000 - $29,999",1304,35326392.44,844719.55
2007,Schuyler,"$200,000 or more",256,83200087.24,901871.81
2007,Schuyler,"$30,000 - $39,999",1124,41784500.54,1277732.98
2007,Schuyler,"$40,000 - $49,999",894,40977104.66,1251863.19
2007,Schuyler,"$5,000 - $9,999",797,6895548.61,161256.1
2007,Schuyler,"$50,000 - $74,999",1369,81433547.09,2630271.57
2007,Schuyler,"$75,000 - $99,999",667,61538392.04,1686586.68
2007,Schuyler,"Under $5,000",844,2128987.55,50573.63
2007,Seneca,"$10,000 - $19,999",2499,36469252.27,987873.5
2007,Seneca,"$100,000 - $199,999",988,154898815.39,2899185.49
2007,Seneca,"$20,000 - $29,999",2217,54227024.44,1452473.72
2007,Seneca,"$200,000 or more",475,146851151.63,1607387.35
2007,Seneca,"$30,000 - $39,999",2003,72014364.54,1916055.56
2007,Seneca,"$40,000 - $49,999",1550,67303865.1,2209724.19
2007,Seneca,"$5,000 - $9,999",1330,10351103.33,259271.5
2007,Seneca,"$50,000 - $74,999",2267,136249427.63,4010057.72
2007,Seneca,"$75,000 - $99,999",1148,106642808.86,2643709.53
2007,Seneca,"Under $5,000",1383,3523776.89,80304.12
2007,Staten Island,"$10,000 - $19,999",24864,380914880.18,12935351.46
2007,Staten Island,"$100,000 - $199,999",16741,2489603079.47,64649764.3
2007,Staten Island,"$20,000 - $29,999",23193,595436949.12,20089367.18
2007,Staten Island,"$200,000 or more",8361,2328347658.69,39296439.64
2007,Staten Island,"$30,000 - $39,999",21922,837802979.09,30560776.43
2007,Staten Island,"$40,000 - $49,999",19783,870469213.0,39321388.17
2007,Staten Island,"$5,000 - $9,999",12299,101351736.89,3243191.07
2007,Staten Island,"$50,000 - $74,999",32431,2017994990.31,75403674.01
2007,Staten Island,"$75,000 - $99,999",18778,1543269742.11,56888014.59
2007,Staten Island,"Under $5,000",10538,25665821.03,796058.01
2007,Suffolk,"$10,000 - $19,999",86084,1274305470.27,50287322.07
2007,Suffolk,"$100,000 - $199,999",63697,9250517861.63,258677431.26
2007,Suffolk,"$20,000 - $29,999",88397,2241775812.96,85909461.84
2007,Suffolk,"$200,000 or more",36045,11099935937.18,178382406.63
2007,Suffolk,"$30,000 - $39,999",84376,3104887190.45,115692311.49
2007,Suffolk,"$40,000 - $49,999",65797,2946760854.62,127636462.03
2007,Suffolk,"$5,000 - $9,999",36662,278343483.73,9243900.7
2007,Suffolk,"$50,000 - $74,999",113726,7221647185.07,266403252.8
2007,Suffolk,"$75,000 - $99,999",69651,6037995094.66,224966076.02
2007,Suffolk,"Under $5,000",36650,93377274.86,2907097.36
2007,Tioga,"$10,000 - $19,999",3635,54924137.29,1386794.33
2007,Tioga,"$100,000 - $199,999",1627,238224902.17,4922777.95
2007,Tioga,"$20,000 - $29,999",3189,76978172.93,2291102.94
2007,Tioga,"$200,000 or more",743,218084687.56,2455723.03
2007,Tioga,"$30,000 - $39,999",2913,104216697.96,2910784.59
2007,Tioga,"$40,000 - $49,999",2362,114294175.8,3255307.56
2007,Tioga,"$5,000 - $9,999",1838,13638120.06,335476.89
2007,Tioga,"$50,000 - $74,999",3592,210228345.97,6392436.41
2007,Tioga,"$75,000 - $99,999",1787,147786651.92,4630719.92
2007,Tioga,"Under $5,000",2052,5060295.63,109642.03
2007,Tompkins,"$10,000 - $19,999",5940,90140343.59,3045988.0
2007,Tompkins,"$100,000 - $199,999",3820,574524926.26,12893749.94
2007,Tompkins,"$20,000 - $29,999",5517,134148004.04,4145404.66
2007,Tompkins,"$200,000 or more",1604,481202030.5,6150836.36
2007,Tompkins,"$30,000 - $39,999",5814,208344672.95,6774545.85
2007,Tompkins,"$40,000 - $49,999",4178,197775182.52,7113865.49
2007,Tompkins,"$5,000 - $9,999",3211,23763862.9,740451.09
2007,Tompkins,"$50,000 - $74,999",6660,419497475.36,14712172.85
2007,Tompkins,"$75,000 - $99,999",4165,370903859.2,11235545.15
2007,Tompkins,"Under $5,000",3147,7774364.07,201134.06
2007,Westchester,"$10,000 - $19,999",41164,631875249.72,30624205.83
2007,Westchester,"$100,000 - $199,999",51501,7583022811.92,274125566.78
2007,Westchester,"$20,000 - $29,999",45262,1106319027.1,56890845.94
2007,Westchester,"$200,000 or more",32381,9129182059.2,211363056.01
2007,Westchester,"$30,000 - $39,999",45923,1711954357.69,83991076.81
2007,Westchester,"$40,000 - $49,999",45351,2102005967.9,119398097.24
2007,Westchester,"$5,000 - $9,999",17623,121157567.52,6063164.31
2007,Westchester,"$50,000 - $74,999",84676,5611100155.55,302632284.96
2007,Westchester,"$75,000 - $99,999",59516,4950945204.03,259061939.98
2007,Westchester,"Under $5,000",13830,34562146.81,1443048.28
2007,Yates,"$10,000 - $19,999",1843,28902966.34,756491.34
2007,Yates,"$100,000 - $199,999",727,107918524.84,2141453.75
2007,Yates,"$20,000 - $29,999",1658,41531556.35,1234434.93
2007,Yates,"$200,000 or more",380,115597967.24,1303893.69
2007,Yates,"$30,000 - $39,999",1352,46814687.81,1390804.15
2007,Yates,"$40,000 - $49,999",1109,45969216.69,1624066.37
2007,Yates,"$5,000 - $9,999",1028,7114995.45,189058.52
2007,Yates,"$50,000 - $74,999",1512,89982067.54,2774281.02
2007,Yates,"$75,000 - $99,999",829,77017775.29,1917704.38
2007,Yates,"Under $5,000",1094,2835859.04,56191.14
2008,Albany,"$10,000 - $19,999",17904,255198889.94,9033926.56
2008,Albany,"$100,000 - $199,999",12159,1790265291.83,39769654.5
2008,Albany,"$20,000 - $29,999",17522,399151597.68,14302401.08
2008,Albany,"$200,000 or more",6215,1783069628.72,23814136.16
2008,Albany,"$30,000 - $39,999",16904,594576913.49,21104147.92
2008,Albany,"$40,000 - $49,999",15827,746146337.2,27270737.4
2008,Albany,"$5,000 - $9,999",10045,79947028.65,2383756.34
2008,Albany,"$50,000 - $74,999",24675,1687218962.58,57878218.32
2008,Albany,"$75,000 - $99,999",14454,1297798783.5,43178396.01
2008,Albany,"Under $5,000",9364,24612404.19,650695.9
2008,Bronx,"$10,000 - $19,999",87961,1184802511.0,31052825.9
2008,Bronx,"$100,000 - $199,999",22959,3491335153.48,61620359.41
2008,Bronx,"$20,000 - $29,999",75539,2088994609.72,43687737.45
2008,Bronx,"$200,000 or more",10365,3268500021.82,29838867.38
2008,Bronx,"$30,000 - $39,999",59307,2032071803.64,51116405.29
2008,Bronx,"$40,000 - $49,999",45858,2078219765.75,52848830.77
2008,Bronx,"$5,000 - $9,999",54012,429070161.67,9956814.41
2008,Bronx,"$50,000 - $74,999",63731,4098638475.59,105901348.13
2008,Bronx,"$75,000 - $99,999",30045,2726138734.3,59267502.09
2008,Bronx,"Under $5,000",59053,148574742.79,2848474.26
2008,Brooklyn,"$10,000 - $19,999",125140,1762351998.28,54380602.1
2008,Brooklyn,"$100,000 - $199,999",62288,9106368404.43,192373114.32
2008,Brooklyn,"$20,000 - $29,999",114892,2618808901.26,71641892.37
2008,Brooklyn,"$200,000 or more",33090,9076882227.51,123813716.06
2008,Brooklyn,"$30,000 - $39,999",112929,3743769968.37,119978374.21
2008,Brooklyn,"$40,000 - $49,999",90875,4409787013.49,139037299.54
2008,Brooklyn,"$5,000 - $9,999",65893,489169550.25,13634679.46
2008,Brooklyn,"$50,000 - $74,999",134525,8294837000.02,273370895.56
2008,Brooklyn,"$75,000 - $99,999",78503,6944946155.24,207976698.86
2008,Brooklyn,"Under $5,000",66164,154751618.26,4151063.39
2008,Broome,"$10,000 - $19,999",14330,212209233.22,5537387.59
2008,Broome,"$100,000 - $199,999",6722,1086011362.05,20140129.07
2008,Broome,"$20,000 - $29,999",12390,321588124.76,8632537.55
2008,Broome,"$200,000 or more",3248,924180911.75,11328472.57
2008,Broome,"$30,000 - $39,999",11441,441086556.96,11534421.76
2008,Broome,"$40,000 - $49,999",8655,429586839.51,11315357.98
2008,Broome,"$5,000 - $9,999",6915,54542026.02,1399014.74
2008,Broome,"$50,000 - $74,999",13813,811899643.21,25131313.52
2008,Broome,"$75,000 - $99,999",7772,649264166.0,18605673.33
2008,Broome,"Under $5,000",7390,19945576.94,385112.16
2008,Cayuga,"$10,000 - $19,999",5860,77905333.16,2466438.98
2008,Cayuga,"$100,000 - $199,999",2449,364083163.84,7395893.21
2008,Cayuga,"$20,000 - $29,999",5265,135962168.06,3689112.31
2008,Cayuga,"$200,000 or more",1198,347140308.78,4327302.36
2008,Cayuga,"$30,000 - $39,999",4447,144455641.51,4726562.27
2008,Cayuga,"$40,000 - $49,999",3661,165185935.22,5623509.3
2008,Cayuga,"$5,000 - $9,999",2992,23011578.77,578044.31
2008,Cayuga,"$50,000 - $74,999",4851,301386346.27,8528290.1
2008,Cayuga,"$75,000 - $99,999",3039,281925884.27,7791559.29
2008,Cayuga,"Under $5,000",3212,7460547.23,174771.96
2008,Chemung,"$10,000 - $19,999",5763,87016874.9,2150821.05
2008,Chemung,"$100,000 - $199,999",2428,332718226.45,6720603.74
2008,Chemung,"$20,000 - $29,999",5454,142047755.42,3647983.84
2008,Chemung,"$200,000 or more",1214,393420026.2,4291077.87
2008,Chemung,"$30,000 - $39,999",4852,170625087.58,5063574.72
2008,Chemung,"$40,000 - $49,999",3647,170681942.19,5220006.82
2008,Chemung,"$5,000 - $9,999",3098,23977837.42,601907.02
2008,Chemung,"$50,000 - $74,999",5838,381113018.53,10557487.84
2008,Chemung,"$75,000 - $99,999",3136,263580958.68,7078890.36
2008,Chemung,"Under $5,000",3397,8575751.43,189726.63
2008,Cortland,"$10,000 - $19,999",3601,53156200.95,1475283.79
2008,Cortland,"$100,000 - $199,999",1556,214006184.85,4691475.97
2008,Cortland,"$20,000 - $29,999",2970,77231848.16,2032100.75
2008,Cortland,"$200,000 or more",690,212237981.32,2516965.4
2008,Cortland,"$30,000 - $39,999",3007,105005534.59,3025527.06
2008,Cortland,"$40,000 - $49,999",2259,99209031.08,3354403.15
2008,Cortland,"$5,000 - $9,999",2061,15775857.12,413072.8
2008,Cortland,"$50,000 - $74,999",3319,204227695.1,5911722.4
2008,Cortland,"$75,000 - $99,999",1745,168920017.55,3805911.98
2008,Cortland,"Under $5,000",2011,5149681.67,119307.33
2008,Dutchess,"$10,000 - $19,999",16555,233849878.81,7619279.78
2008,Dutchess,"$100,000 - $199,999",11762,1764017601.92,40552737.44
2008,Dutchess,"$20,000 - $29,999",17779,449254373.57,14627108.18
2008,Dutchess,"$200,000 or more",7006,2149089896.37,31416086.32
2008,Dutchess,"$30,000 - $39,999",16041,511029532.46,19548469.07
2008,Dutchess,"$40,000 - $49,999",13131,618145329.44,20761833.54
2008,Dutchess,"$5,000 - $9,999",8428,66872268.52,1995756.43
2008,Dutchess,"$50,000 - $74,999",23105,1330694405.2,59825191.8
2008,Dutchess,"$75,000 - $99,999",14173,1191320307.74,39528219.77
2008,Dutchess,"Under $5,000",8910,24390109.88,578526.08
2008,Erie,"$10,000 - $19,999",60199,900323219.04,25637328.79
2008,Erie,"$100,000 - $199,999",31389,4905268869.03,98616007.11
2008,Erie,"$20,000 - $29,999",54056,1522954544.85,39527138.22
2008,Erie,"$200,000 or more",17432,5142959832.58,70162886.18
2008,Erie,"$30,000 - $39,999",50739,1733283901.28,51228068.03
2008,Erie,"$40,000 - $49,999",42137,1824872887.01,61707922.78
2008,Erie,"$5,000 - $9,999",30417,247466383.9,6811421.91
2008,Erie,"$50,000 - $74,999",63781,3752281202.25,127395069.75
2008,Erie,"$75,000 - $99,999",36418,3580483710.21,99090227.67
2008,Erie,"Under $5,000",32126,82929666.63,1903799.9
2008,"Grand Total, Full-Year Resident",All Classes,6596916,421347801250.26,13607234671.86
2008,Hamilton,"$10,000 - $19,999",371,5500523.26,134864.5
2008,Hamilton,"$100,000 - $199,999",187,25460274.54,523423.17
2008,Hamilton,"$20,000 - $29,999",328,8343848.73,193388.98
2008,Hamilton,"$200,000 or more",92,27702027.72,335379.12
2008,Hamilton,"$30,000 - $39,999",330,10761165.1,314185.92
2008,Hamilton,"$40,000 - $49,999",257,12156048.61,309999.98
2008,Hamilton,"$5,000 - $9,999",195,1638623.49,36857.96
2008,Hamilton,"$50,000 - $74,999",397,24864005.25,678633.68
2008,Hamilton,"$75,000 - $99,999",212,18493076.49,456601.74
2008,Hamilton,"Under $5,000",203,460478.97,10836.17
2008,Madison,"$10,000 - $19,999",4647,64080030.48,1945301.93
2008,Madison,"$100,000 - $199,999",2067,296110910.62,6325831.58
2008,Madison,"$20,000 - $29,999",4379,100879814.83,2741724.5
2008,Madison,"$200,000 or more",1059,326961011.63,3770295.4
2008,Madison,"$30,000 - $39,999",3784,125226038.02,4152455.84
2008,Madison,"$40,000 - $49,999",3219,147408789.09,4606848.41
2008,Madison,"$5,000 - $9,999",2472,18726165.96,454078.47
2008,Madison,"$50,000 - $74,999",4719,294889453.85,8823012.95
2008,Madison,"$75,000 - $99,999",2481,228777396.1,5613860.05
2008,Madison,"Under $5,000",2575,6220407.59,136382.71
2008,Manhattan,"$10,000 - $19,999",41100,639917814.3,42533117.96
2008,Manhattan,"$100,000 - $199,999",105877,15556479897.52,779620637.58
2008,Manhattan,"$20,000 - $29,999",47778,1206488754.55,76502896.47
2008,Manhattan,"$200,000 or more",79457,25409713157.02,713482234.24
2008,Manhattan,"$30,000 - $39,999",60214,2092510958.2,157790091.6
2008,Manhattan,"$40,000 - $49,999",61821,2588000515.8,205327163.91
2008,Manhattan,"$5,000 - $9,999",17153,132093095.38,7536977.45
2008,Manhattan,"$50,000 - $74,999",136623,8798623540.34,604670015.09
2008,Manhattan,"$75,000 - $99,999",96403,8453068578.25,567157969.09
2008,Manhattan,"Under $5,000",12658,31503325.17,1687546.21
2008,Monroe,"$10,000 - $19,999",47939,721388953.71,21805999.96
2008,Monroe,"$100,000 - $199,999",30201,4409847448.85,99531365.41
2008,Monroe,"$20,000 - $29,999",41469,1017546724.05,32376480.97
2008,Monroe,"$200,000 or more",14617,4376829828.39,65032525.81
2008,Monroe,"$30,000 - $39,999",45036,1665882923.1,49022835.15
2008,Monroe,"$40,000 - $49,999",34413,1523325261.21,56923601.54
2008,Monroe,"$5,000 - $9,999",22618,170029972.19,5410724.45
2008,Monroe,"$50,000 - $74,999",55673,3407025774.33,114590321.13
2008,Monroe,"$75,000 - $99,999",31841,2925799934.23,86535654.85
2008,Monroe,"Under $5,000",22485,62069341.23,1328956.6
2008,NYS Unclassified +,All Classes,2302,75364777.69,2183648.16
2008,Nassau,"$10,000 - $19,999",57686,769758866.24,39824484.71
2008,Nassau,"$100,000 - $199,999",75093,10911121149.0,363727774.68
2008,Nassau,"$20,000 - $29,999",60019,1423280475.84,72788612.12
2008,Nassau,"$200,000 or more",46162,14072695701.9,264091741.33
2008,Nassau,"$30,000 - $39,999",63725,2301461664.99,104539208.23
2008,Nassau,"$40,000 - $49,999",65504,2721255878.18,155378606.9
2008,Nassau,"$5,000 - $9,999",24478,171057868.12,8598173.52
2008,Nassau,"$50,000 - $74,999",113722,6637676709.62,338025091.09
2008,Nassau,"$75,000 - $99,999",78158,7479461981.66,303938772.35
2008,Nassau,"Under $5,000",22129,52060398.51,2030402.76
2008,Onondaga,"$10,000 - $19,999",29628,442621367.39,15173772.68
2008,Onondaga,"$100,000 - $199,999",18387,2814769564.68,63118792.53
2008,Onondaga,"$20,000 - $29,999",29344,716031314.23,24591812.81
2008,Onondaga,"$200,000 or more",8372,2577642316.07,34259736.26
2008,Onondaga,"$30,000 - $39,999",25973,883940043.95,31811595.19
2008,Onondaga,"$40,000 - $49,999",22073,1011248121.48,34942064.27
2008,Onondaga,"$5,000 - $9,999",15790,125257179.08,3402008.95
2008,Onondaga,"$50,000 - $74,999",37483,2240302626.15,82353725.31
2008,Onondaga,"$75,000 - $99,999",20606,1610761473.32,55809797.46
2008,Onondaga,"Under $5,000",15283,34504898.73,1100213.55
2008,Orange,"$10,000 - $19,999",21147,310726057.39,10849590.6
2008,Orange,"$100,000 - $199,999",13351,1997180054.3,46725348.39
2008,Orange,"$20,000 - $29,999",19593,500965102.23,16260436.57
2008,Orange,"$200,000 or more",6261,1796073914.22,26580039.97
2008,Orange,"$30,000 - $39,999",19691,663278315.43,22637300.4
2008,Orange,"$40,000 - $49,999",14603,674705889.34,24134532.32
2008,Orange,"$5,000 - $9,999",10623,91168739.66,2477356.08
2008,Orange,"$50,000 - $74,999",25484,1663629168.11,59538022.11
2008,Orange,"$75,000 - $99,999",14339,1218314578.14,38381003.05
2008,Orange,"Under $5,000",10505,25760773.12,689689.05
2008,Queens,"$10,000 - $19,999",101979,1512517789.04,54649128.47
2008,Queens,"$100,000 - $199,999",65907,9336569407.37,242621443.32
2008,Queens,"$20,000 - $29,999",101708,2399526326.49,81778517.56
2008,Queens,"$200,000 or more",36310,11320842454.63,168842240.82
2008,Queens,"$30,000 - $39,999",90121,3231419709.26,111422502.99
2008,Queens,"$40,000 - $49,999",80121,3536548661.35,141333420.17
2008,Queens,"$5,000 - $9,999",48739,352255329.64,11648340.9
2008,Queens,"$50,000 - $74,999",117477,7099784294.32,271492919.77
2008,Queens,"$75,000 - $99,999",71160,6383696368.3,224089148.42
2008,Queens,"Under $5,000",49513,121574297.19,3095865.32
2008,Residence Unknown ++,All Classes,615,10909442.47,501700.51
2008,Rockland,"$10,000 - $19,999",14798,212751797.89,8577160.18
2008,Rockland,"$100,000 - $199,999",13255,1994629954.76,58585057.82
2008,Rockland,"$20,000 - $29,999",14946,376699986.71,17198029.74
2008,Rockland,"$200,000 or more",7934,2188822783.77,43592933.86
2008,Rockland,"$30,000 - $39,999",13715,486964322.98,20186540.68
2008,Rockland,"$40,000 - $49,999",14158,682706244.88,27856350.76
